t_norm_0_1,coherence_baseline,coherence_omega,entropy_baseline,entropy_omega
0.4571428571428572,0.09935962125919293,0.444270223937134,0.9017443471410399,0.5612181423743474
0.45833333333333337,0.09939232426597588,0.44443280656239204,0.9016898586607457,0.5609472535159821
0.45952380952380956,0.0994241269091881,0.44459091304042647,0.9016362099960201,0.5606805397911385
0.46071428571428574,0.09945502740947561,0.4447445345251991,0.9015834041484994,0.5604180161224166
0.46190476190476193,0.09948502403795918,0.4448936624216067,0.9015314440726641,0.5601596971979836
0.4630952380952381,0.09951411511633114,0.4450382883859619,0.9014803326756743,0.5599055974707516
0.4642857142857143,0.09954229901694919,0.44517840432645944,0.9014300728172062,0.5596557311575692
0.46547619047619054,0.09956957416292758,0.44531400240362995,0.9013806673092928,0.5594101122384261
0.46666666666666673,0.09959593902822521,0.44544507503077746,0.9013321189161663,0.5591687544556707
0.4678571428571429,0.09962139213773112,0.44557161487440444,0.9012844303541032,0.5589316713132413
0.4690476190476191,0.09964593206734691,0.44569361485462233,0.9012376042912728,0.5586988760759106
0.4702380952380953,0.09966955744406658,0.44581106814554705,0.9011916433475875,0.5584703817685437
0.4714285714285715,0.09969226694605317,0.4459239681756815,0.9011465500945566,0.5582462011753693
0.47261904761904766,0.09971405930271282,0.44603230862828264,0.9011023270551419,0.5580263468392638
0.47380952380952385,0.09973493329476586,0.4461360834417156,0.9010589767036172,0.5578108310610506
0.47500000000000003,0.09975488775431501,0.44623528680979224,0.9010165014654293,0.5575996658988107
0.4761904761904762,0.09977392156491065,0.4463299131820962,0.9009749037170626,0.5573928631672095
0.4773809523809524,0.09979203366161343,0.4464199572642937,0.9009341857859059,0.5571904344368344
0.4785714285714286,0.0998092230310538,0.4465054140184292,0.9008943499501226,0.5569923910335477
0.4797619047619048,0.09982548871148861,0.44658627866320777,0.9008553984385227,0.5567987440378539
0.480952380952381,0.09984082979285501,0.4466625466742627,0.9008173334304387,0.5566095042842787
0.4821428571428572,0.09985524541682142,0.4467342137844078,0.9007801570556029,0.5564246823607629
0.4833333333333334,0.09986873477683544,0.4468012759838772,0.900743871394029,0.5562442886080706
0.4845238095238096,0.09988129711816901,0.44686372952054904,0.9007084784758954,0.5560683331192102
0.48571428571428577,0.0998929317379607,0.4469215709001557,0.9006739802814315,0.5558968257388697
0.48690476190476195,0.09990363798525492,0.44697479688647884,0.900640378740807,0.555729776062866
0.48809523809523814,0.09991341526103847,0.4470234045015312,0.9006076757340241,0.555567193437608
0.4892857142857143,0.09992226301827396,0.44706739102572274,0.9005758730908119,0.5554090869595736
0.4904761904761905,0.09993018076193048,0.44710675399801264,0.9005449725905244,0.555255465474801
0.4916666666666667,0.09993716804901119,0.4471414912160475,0.9005149759620408,0.5551063375783933
0.4928571428571429,0.0999432244885783,0.44717160073628437,0.9004858848836689,0.5549617116140382
0.49404761904761907,0.09994834974177473,0.4471970808740991,0.9004577009830508,0.5548215956735405
0.49523809523809526,0.09995254352184317,0.4472179302038811,0.9004304258370724,0.55468599759637
0.4964285714285715,0.09995580559414216,0.4472341475591131,0.9004040609717748,0.5545549249692225
0.4976190476190477,0.09995813577615915,0.44724573203243584,0.9003786078622689,0.5544283851255956
0.49880952380952387,0.09995953393752076,0.44725268297569964,0.900354067932653,0.5543063851453777
0.5,0.0833,0.380995,0.9003304425559334,0.554188931854453
0.5011904761904762,0.08329906788807957,0.38098943921946155,0.9003077330539468,0.5540760318243185
0.5023809523809524,0.08329627176092158,0.3809727581223286,0.9002859406972872,0.5539676913717173
0.5035714285714287,0.08329161224428916,0.3809449604417706,0.9002650667052341,0.5538639165582844
0.5047619047619049,0.08328509038096524,0.3809060523988076,0.9002451122456849,0.5537647131902077
0.505952380952381,0.08327670763051923,0.3808560427009187,0.9002260784350894,0.5536700868179039
0.5071428571428572,0.08326646586898034,0.38079494254009333,0.9002079663383866,0.5535800427357063
0.5083333333333334,0.08325436738841772,0.3807227655903263,0.9001907769689462,0.5534945859815708
0.5095238095238096,0.0832404148964275,0.3806395280045576,0.9001745112885113,0.5534137213367922
